session_id,session_length,session_position,is_skip_int
5099,12,2,0
5100,64,18,1
5100,64,34,0
5100,64,54,1
5101,109,3,0
5101,109,7,1
5101,109,24,0
5101,109,29,1
5101,109,33,1
5101,109,45,1
5101,109,58,1
5101,109,72,1
5101,109,105,1
5102,15,0,0
5102,15,3,1
5103,34,7,1
5103,34,31,0
5104,56,0,0
5104,56,27,1
5104,56,36,1
5104,56,37,1
5106,35,4,1
5106,35,17,1
5106,35,24,0
5107,20,11,1
5108,29,5,0
5110,131,6,1
5110,131,38,1
5110,131,41,1
5110,131,47,1
5110,131,50,1
5110,131,63,1
5110,131,66,1
5110,131,81,0
5110,131,105,0
5110,131,115,0
5111,47,2,0
5111,47,17,0
5111,47,23,0
5111,47,35,0
5111,47,44,1
5113,41,22,1
5113,41,24,0
5114,29,4,0
5114,29,15,0
5115,129,0,0
5115,129,98,0
5116,21,7,0
5117,84,0,0
5117,84,6,0
5117,84,27,1
5117,84,31,1
5117,84,54,1
5117,84,80,0
5118,19,13,1
5118,19,15,1
5118,19,16,0
5118,19,18,0
5121,17,15,0
5122,26,1,0
5122,26,4,0
5122,26,9,0
5122,26,13,0
5122,26,16,0
5123,21,20,0
5124,105,10,1
5124,105,29,1
5124,105,86,0
5125,35,12,0
5125,35,31,1
5125,35,34,0
5126,50,38,0
5127,33,3,1
5129,91,2,1
5129,91,5,0
5129,91,7,1
5129,91,58,0
5129,91,64,0
5129,91,69,1
5130,236,27,0
5130,236,30,0
5130,236,36,1
5130,236,51,1
5130,236,73,1
5130,236,76,1
5130,236,159,0
5130,236,162,1
5130,236,165,0
5130,236,167,0
5130,236,190,1
5130,236,191,1
5130,236,206,1
5130,236,208,1
5130,236,211,1
5130,236,215,1
5130,236,224,1
5130,236,229,1
5130,236,235,0
5131,84,24,1
5131,84,31,1
5131,84,56,1
5131,84,71,1
5131,84,73,1
5131,84,83,0
5132,21,15,1
5134,10,4,0
5134,10,5,0
5134,10,6,0
5135,115,1,0
5135,115,15,0
5135,115,19,1
5135,115,28,1
5135,115,43,1
5135,115,46,0
5135,115,48,0
5135,115,87,1
5135,115,92,1
5135,115,106,0
5135,115,113,1
5136,23,18,0
5138,30,4,0
5138,30,14,1
5139,255,10,0
5139,255,61,0
5139,255,62,0
5139,255,78,0
5139,255,132,0
5139,255,147,0
5139,255,161,1
5139,255,166,1
5139,255,167,1
5139,255,184,1
5139,255,200,1
5139,255,210,0
5139,255,239,1
5139,255,249,1
5140,136,3,0
5140,136,27,0
5140,136,41,1
5140,136,43,0
5140,136,64,1
5140,136,65,0
5140,136,85,1
5140,136,104,0
5140,136,109,1
5141,45,24,0
5141,45,32,1
5142,76,13,0
5142,76,47,1
5142,76,65,1
5143,3,2,0
5144,279,9,0
5144,279,20,1
5144,279,85,1
5144,279,97,1
5144,279,120,1
5144,279,134,1
5144,279,139,1
5144,279,173,1
5144,279,178,0
5144,279,191,0
5144,279,194,0
5144,279,218,1
5144,279,224,1
5144,279,240,1
5144,279,250,1
5144,279,251,1
5144,279,258,1
5144,279,259,1
5144,279,277,1
5145,108,8,0
5145,108,19,1
